Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
欧莱雅（LOREAL）眉笔大师三头塑形眉笔 浅棕0.2g（欧莱雅彩妆 一笔三头 简单塑型）	https://item.jd.com/1934121.html	1934121	眉笔	1934121	香水彩妆	1316,1387,1423	117.00	120.00	;商品名称：欧莱雅眉笔大师三头塑形眉笔 浅棕 2*0.2g;;商品编号：1934121;;商品毛重：10.00g;;商品产地：中国湖北;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：浅棕;	1000002662		每满199元，可减100元现金;满3件，立减最低1件商品价格	99	0	1	19000	50	40	19000	13000	5
卡姿兰（Carslan）高分造型眉妆盘01#梦幻大地0.8g+1.3g*2(眉膏眉粉耐汗防晕染持久显色)	https://item.jd.com/5045784.html	5045784	眉笔	5045784	香水彩妆	1316,1387,1423	79.00	89.00	;商品名称：卡姿兰眉妆盘;;商品编号：5045784;;商品毛重：10.00g;;商品产地：广州;;颜色：浅棕;;分类：眉粉;	1000002523		满99元减20元;满299元减30元	97	1	2	260000	4300	2100	260000	110000	5
卡姿兰眉笔防水防汗持久不晕染自动眉笔一字眉画眉修眉毛神器套装带眉刷男女通用 02深褐色送口红中样+小台镜+替换笔芯	https://item.jd.com/1488231056.html	1488231056	眉笔	1488231056	香水彩妆	1316,1387,1423	55.00	99.00	;商品名称：卡姿兰眉笔防水防汗持久不晕染自动眉笔一字眉画眉修眉毛神器套装带眉刷男女通用 02深褐色送口红中样+小台镜+替换笔芯;;商品编号：1488231056;;店铺：;香草物语化妆品;;商品毛重：10.00g;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：深棕;	35163	有效期2018-12-11至2018-12-13,满99减10;有效期2018-11-16至2019-01-22,满109减10;有效期2018-11-16至2019-01-22,满199减20		98	0	2	15000	100	70	15000	10000	5
贝玲妃眉笔（自然色）0.34g	https://item.jd.com/3900769.html	3900769	眉笔	3900769	香水彩妆	1316,1387,1423	194.00	220.00	;商品名称：贝玲妃眉笔;;商品编号：3900769;;商品毛重：20.00g;;商品产地：日本;;颜色：浅棕;;分类：眉笔;	1000084524		满499元减150元;满499元减100元	99	0	1	3000	10	2	3000	2300	5
【第二支1元】巧迪尚惠（Qdsuh）眉笔 防水防汗持久不晕染0.25g自然色眉笔眉粉套装 1#炭黑色送眉卡+修眉刀	https://item.jd.com/10062674712.html	10062674712	眉笔	10062674712	香水彩妆	1316,1387,1423	26.00	35.00	;商品名称：【第二支1元】巧迪尚惠（Qdsuh）眉笔 防水防汗持久不晕染0.25g自然色眉笔眉粉套装 1#炭黑色送眉卡+修眉刀;;商品编号：10062674712;;店铺：;巧迪尚惠官方旗舰店;;商品毛重：50.00g;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：深棕;	75094	有效期2018-11-06至2019-02-03,满79减5;有效期2018-11-06至2019-02-03,满149减10;有效期2018-10-31至2018-12-31,满199减20	满50元减25元，满58元减28元	98	1	1	170000	1400	1000	170000	120000	5
欧莱雅 （LOREAL） 法式摩登立体拼色眉妆盒 深棕 3.5g（欧莱雅彩妆 眉粉 三步打造法式潮眉）	https://item.jd.com/2496473.html	2496473	眉笔	2496473	香水彩妆	1316,1387,1423	89.00	90.00	;商品名称：欧莱雅3.5g;;商品编号：2496473;;商品毛重：40.00g;;商品产地：中国江苏;;妆效：其它;;质地：粉状;	1000002662		每满199元，可减100元现金;满3件，立减最低1件商品价格	99	1	0	2700	6	8	2700	2000	5
凯朵（KATE）畅妆眉笔 BR-3(棕色) 0.07g（防水防汗 不晕染 彩妆）	https://item.jd.com/871515.html	871515	眉笔	871515	香水彩妆	1316,1387,1423	79.00	79.00	;商品名称：凯朵眉笔;;商品编号：871515;;商品毛重：10.00g;;商品产地：上海;;颜色：浅棕;;分类：眉笔;	1000010589		满499元减150元;满299元减30元	98	0	2	4400	30	20	4500	2700	5
欧珀莱（AUPRES） 精致自然眉笔 0.21g （101灰黑）（自然显色，易控制）	https://item.jd.com/5243119.html	5243119	眉笔	5243119	香水彩妆	1316,1387,1423	104.00	131.00	;商品名称：欧珀莱眉笔;;商品编号：5243119;;商品毛重：10.00g;;商品产地：江苏;;颜色：黑色;;分类：眉笔;	1000002586		满290元、450元、590元可得相应赠品，赠完即止，请在购物车点击领取	99	0	1	5100	10	10	5100	4000	5
	https://item.jd.com/11190803912.html	11190803912	眉笔	11190803912	香水彩妆	1316,1387,1423	24.00	69.00	;商品名称：【爱丽小屋旗舰店】 爱丽小屋双头旋转自动眉笔一字眉画眉防水不晕染 1号深咖色;;商品编号：11190803912;;店铺：;爱丽小屋旗舰店;;商品毛重：500.00g;;商品产地：中国大陆;;货号：专款眉笔;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：黑色;	611922	有效期2018-12-01至2018-12-31,满69减5;有效期2018-12-01至2018-12-31,满129减10;有效期2018-11-17至2018-12-31,满199减20	满499元减150元，包邮（限中国内地）	99	1	0	42000	100	100	43000	34000	5
	https://item.jd.com/8218044.html	8218044	眉笔	8218044	香水彩妆	1316,1387,1423	189.00	200.00		0	有效期2018-12-10至2018-12-12,满299减40	满2件，总价打8.80折;满399元减50元	100	0	0	1100	0	0	1100	900	5
资生堂 姬芮Za柔芯炫彩防晕染眉笔 GY951 烟灰色 0.17g （持续妆效 防水防汗 旋转）	https://item.jd.com/5981489.html	5981489	眉笔	5981489	香水彩妆	1316,1387,1423	78.00	99.00	;商品名称：姬芮眉笔;;商品编号：5981489;;商品毛重：10.00g;;商品产地：江苏;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：烟灰;	1000003224	有效期2018-12-01至2018-12-31,满100减10	满99元减20元，满150元减40元，满199元减60元	99	1	0	17000	20	20	17000	14000	5
资生堂 姬芮Za柔芯炫彩眉笔 BR611 自然棕 0.17g（持续妆效 防水防汗防晕染 旋转）	https://item.jd.com/6009838.html	6009838	眉笔	6009838	香水彩妆	1316,1387,1423	78.00	99.00	;商品名称：姬芮眉笔;;商品编号：6009838;;商品毛重：10.00g;;商品产地：江苏;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：深棕;	1000003224	有效期2018-12-01至2018-12-31,满100减10	满99元减20元，满150元减40元，满199元减60元	99	1	0	17000	20	20	17000	14000	5
BSIMONE双头细致眉笔 防水防汗不易脱色持久不晕染6色眉笔自然初学者 03#深棕色	https://item.jd.com/30889891069.html	30889891069	眉笔	30889891069	香水彩妆	1316,1387,1423	49.90	69.00	;商品名称：BSIMONE双头细致眉笔 防水防汗不易脱色持久不晕染6色眉笔自然初学者 03#深棕色;;商品编号：30889891069;;店铺：;BSIMONE化妆品官方旗舰店;;商品毛重：52.00g;;商品产地：中国大陆;;货号：6032;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：黑色;	818178	有效期2018-11-11至2018-12-31,满59减10;有效期2018-11-01至2018-12-31,满99减15;有效期2018-11-01至2018-12-31,满199减20		99	0	1	5800	10	5	5800	4600	5
玛丽黛佳（MARIE DALGAR） 眉笔 塑型双效画眉笔GY-2奶奶灰 0.15g+0.15g（防水防汗 不易脱色 扁头双头）	https://item.jd.com/3041189.html	3041189	眉笔	3041189	香水彩妆	1316,1387,1423	49.90	58.00	;商品名称：玛丽黛佳眉笔;;商品编号：3041189;;商品毛重：20.00g;;商品产地：中国上海;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：烟灰;	1000002502	有效期2018-12-01至2018-12-31,满99减10	每满199元，可减100元现金;满199元减100元	98	1	1	99000	700	500	100000	58000	5
伊蒂之屋（ETUDE HOUSE）眉笔双支装礼盒  02灰褐色（双头 防水 防汗 防晕染 彩妆）	https://item.jd.com/100000628977.html	100000628977	眉笔	100000628977	香水彩妆	1316,1387,1423	57.90	95.00	;商品名称：伊蒂之屋眉笔;;商品编号：100000628977;;商品毛重：80.00g;;商品产地：上海;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：浅棕;	1000007572		每满199元，可减100元现金;满3件，立减最低1件商品价格	98	0	2	300000	2100	1500	310000	180000	5
谜尚（MISSHA）自动美眉笔（深棕色）0.26g（防水不晕染立体三角笔芯）	https://item.jd.com/4702934.html	4702934	眉笔	4702934	香水彩妆	1316,1387,1423	28.00	29.00	;商品名称：谜尚眉笔;;商品编号：4702934;;商品毛重：10.00g;;商品产地：上海;;国产/进口：进口;;分类：眉笔;;产品产地：韩国;;颜色：深棕;	1000002483		每满199元，可减100元现金;满3件，立减最低1件商品价格	99	0	1	63000	200	100	64000	47000	5
谜尚（MISSHA）自动美眉笔（棕色）0.26g（防水防汗持久立体三角笔芯）	https://item.jd.com/4702936.html	4702936	眉笔	4702936	香水彩妆	1316,1387,1423	28.00	29.00	;商品名称：谜尚眉笔;;商品编号：4702936;;商品毛重：10.00g;;商品产地：上海;;颜色：深棕;;分类：眉笔;	1000002483		每满199元，可减100元现金;满3件，立减最低1件商品价格	99	0	1	63000	200	100	64000	47000	5
卡姿兰眉笔防水防汗持久不晕染自动眉笔一字眉画眉修眉毛神器套装带眉刷男女通用 01浅棕色送口红中样+小台镜+替换笔芯	https://item.jd.com/1488231055.html	1488231055	眉笔	1488231055	香水彩妆	1316,1387,1423	55.00	99.00	;商品名称：卡姿兰眉笔防水防汗持久不晕染自动眉笔一字眉画眉修眉毛神器套装带眉刷男女通用 01浅棕色送口红中样+小台镜+替换笔芯;;商品编号：1488231055;;店铺：;香草物语化妆品;;商品毛重：10.00g;;国产/进口：国产;;分类：眉笔;;产品产地：中国大陆;;颜色：浅棕;	35163	有效期2018-12-11至2018-12-13,满99减10;有效期2018-11-16至2019-01-22,满109减10;有效期2018-11-16至2019-01-22,满199减20		98	0	2	15000	100	70	15000	10000	5
